time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-09 00:00:00+00:00,31,10,17,9
2026-05-10 00:00:00+00:00,30,9,11,8
2026-05-11 00:00:00+00:00,17,10,84,26
2026-05-12 00:00:00+00:00,25,9,67,25
2026-05-13 00:00:00+00:00,28,11,58,31
2026-05-14 00:00:00+00:00,47,14,48,29
2026-05-15 00:00:00+00:00,24,9,61,26
2026-05-16 00:00:00+00:00,34,10,22,13
2026-05-17 00:00:00+00:00,22,8,17,11
2026-05-18 00:00:00+00:00,16,9,68,35
2026-05-19 00:00:00+00:00,23,12,59,23
2026-05-20 00:00:00+00:00,15,5,62,31
2026-05-21 00:00:00+00:00,23,12,37,24
2026-05-22 00:00:00+00:00,25,9,59,34
