time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-24 00:00:00+00:00,80,32,36,17
2026-04-25 00:00:00+00:00,45,19,42,16
2026-04-26 00:00:00+00:00,25,9,7,5
2026-04-27 00:00:00+00:00,30,12,46,23
2026-04-28 00:00:00+00:00,32,11,88,33
2026-04-29 00:00:00+00:00,49,16,84,38
2026-04-30 00:00:00+00:00,25,6,73,34
2026-05-01 00:00:00+00:00,39,10,55,27
2026-05-02 00:00:00+00:00,50,15,24,12
2026-05-03 00:00:00+00:00,27,8,33,15
2026-05-04 00:00:00+00:00,26,7,59,30
2026-05-05 00:00:00+00:00,45,14,53,23
2026-05-06 00:00:00+00:00,26,12,88,30
2026-05-07 00:00:00+00:00,22,7,41,24
