time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-06 00:00:00+00:00,18,10,52,12
2026-04-07 00:00:00+00:00,20,8,73,20
2026-04-08 00:00:00+00:00,18,9,60,32
2026-04-09 00:00:00+00:00,27,9,70,34
2026-04-10 00:00:00+00:00,25,10,91,31
2026-04-11 00:00:00+00:00,39,12,16,10
2026-04-12 00:00:00+00:00,14,6,46,20
2026-04-13 00:00:00+00:00,46,14,60,25
2026-04-14 00:00:00+00:00,32,7,48,17
2026-04-15 00:00:00+00:00,24,8,52,23
2026-04-16 00:00:00+00:00,38,14,45,23
2026-04-17 00:00:00+00:00,14,5,37,23
2026-04-18 00:00:00+00:00,30,9,13,5
2026-04-19 00:00:00+00:00,22,8,17,8
