time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-18 00:00:00+00:00,13,8,13,6
2026-07-19 00:00:00+00:00,5,3,12,10
2026-07-20 00:00:00+00:00,25,11,58,16
2026-07-21 00:00:00+00:00,9,4,43,21
2026-07-22 00:00:00+00:00,27,13,126,35
2026-07-23 00:00:00+00:00,95,24,91,29
2026-07-24 00:00:00+00:00,11,11,47,24
2026-07-25 00:00:00+00:00,12,7,57,12
2026-07-26 00:00:00+00:00,13,8,18,11
2026-07-27 00:00:00+00:00,106,38,90,30
2026-07-28 00:00:00+00:00,19,13,27,20
2026-07-29 00:00:00+00:00,6,5,77,36
2026-07-30 00:00:00+00:00,51,15,75,37
2026-07-31 00:00:00+00:00,17,9,41,22
