time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-31 00:00:00+00:00,746,269,40,25
2026-09-01 00:00:00+00:00,6,5,64,40
2026-09-02 00:00:00+00:00,31,7,122,37
2026-09-03 00:00:00+00:00,24,10,90,38
2026-09-04 00:00:00+00:00,9,6,122,48
2026-09-05 00:00:00+00:00,6,5,56,11
2026-09-06 00:00:00+00:00,6,4,36,12
2026-09-07 00:00:00+00:00,7,5,76,26
2026-09-08 00:00:00+00:00,16,15,86,37
2026-09-09 00:00:00+00:00,22,19,124,40
2026-09-10 00:00:00+00:00,18,12,104,44
2026-09-11 00:00:00+00:00,5,5,68,31
2026-09-12 00:00:00+00:00,22,14,41,17
2026-09-13 00:00:00+00:00,13,7,29,16
