time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-06 00:00:00+00:00,26,11,95,30
2026-03-07 00:00:00+00:00,16,7,32,11
2026-03-08 00:00:00+00:00,7,3,18,15
2026-03-09 00:00:00+00:00,21,8,78,33
2026-03-10 00:00:00+00:00,16,8,76,26
2026-03-11 00:00:00+00:00,19,10,66,32
2026-03-12 00:00:00+00:00,18,6,129,25
2026-03-13 00:00:00+00:00,33,13,69,24
2026-03-14 00:00:00+00:00,15,7,49,15
2026-03-15 00:00:00+00:00,17,8,26,15
2026-03-16 00:00:00+00:00,34,14,71,34
2026-03-17 00:00:00+00:00,27,10,50,29
2026-03-18 00:00:00+00:00,29,11,42,20
2026-03-19 00:00:00+00:00,9,4,38,26
